yr_built,yr_renovated,house_age,age_after_renovtion,room_bed,room_bath,living_measure,lot_measure,ceil,coast,sight,condition,quality,ceil_measure,basement,zipcode,lat,long,living_measure15,lot_measure15,furnished,total_area,price,Premium_House
1948,0,66,0,4,3,2130,6325,1,0,0,5,7,1440,690,98116,47.5683,-122.396,1240,6325,0,8455,620000,0
1977,0,37,0,3,1.75,1070,8000,1,0,0,3,7,1070,0,98052,47.6978,-122.13,1200,7990,0,9070,415000,0
1997,0,17,0,5,3.25,3350,4000,2,0,0,4,8,2510,840,98105,47.6645,-122.291,1620,4000,0,7350,1110000,0
1970,0,44,0,3,3,2680,12285,1,0,0,4,8,2680,0,98055,47.4633,-122.196,2610,9558,0,14965,417400,0
1967,0,47,0,3,2,1600,16530,1,0,0,5,7,1600,0,98075,47.5821,-122.016,1850,41006,0,18130,525000,0
2006,0,9,0,5,3.25,2820,3275,2,0,0,3,8,2230,590,98118,47.5339,-122.284,2610,3275,0,6095,461500,0
1969,0,45,0,3,1.75,1320,6030,1,0,0,4,7,1320,0,98052,47.6993,-122.13,1840,6565,0,7350,409950,0
1947,0,67,0,2,1,960,21850,1,0,0,3,6,960,0,98032,47.4122,-122.267,1020,21850,0,22810,242000,0
1986,0,28,0,3,2.5,2680,43995,2,0,0,3,9,2680,0,98077,47.7655,-122.086,2520,37277,1,46675,600000,0
2003,0,12,0,4,3,3810,217800,2,0,0,3,9,3810,0,98077,47.7696,-122.021,2580,217364,1,221610,900000,0
1916,1990,98,24,6,3.5,2410,6000,2,0,4,3,9,2220,190,98136,47.54,-122.382,1980,6000,1,8410,767500,0
1942,0,72,0,2,1.75,1530,7020,1,0,0,3,7,1030,500,98199,47.6465,-122.395,2090,6600,0,8550,469775,0
1976,0,39,0,3,1,1120,8342,1,0,0,4,7,1120,0,98042,47.3732,-122.116,1190,6660,0,9462,205000,0
1954,0,60,0,3,1,1220,8573,1,0,0,4,7,1220,0,98004,47.6088,-122.193,1390,8573,0,9793,672000,0
1951,0,63,0,2,1,940,5000,1,0,0,3,6,940,0,98126,47.5186,-122.374,940,5000,0,5940,275000,0
1947,0,67,0,4,1.75,1620,4980,1,0,0,4,7,860,760,98133,47.7025,-122.341,1400,4980,0,6600,385000,0
1969,0,45,0,5,2.75,3650,13297,2,0,0,5,9,2750,900,98040,47.5497,-122.228,2900,11568,1,16947,1200000,1
1962,2002,52,12,4,2.5,2600,7200,2,0,0,3,7,2600,0,98115,47.6944,-122.274,1790,6175,0,9800,691500,0
1922,0,92,0,4,2,2230,5000,1.5,0,0,4,7,1510,720,98144,47.5772,-122.292,2140,5000,0,7230,690000,0
1999,0,15,0,3,1.5,1340,1110,2,0,0,3,7,1040,300,98117,47.698,-122.366,1220,1110,0,2450,360000,0
1956,0,58,0,3,1.5,1070,9331,1,0,0,3,6,1070,0,98155,47.7633,-122.313,1480,8400,0,10401,220000,0
1941,0,73,0,4,1.75,1930,10210,1.5,0,2,3,8,1670,260,98125,47.7078,-122.277,2730,6600,0,12140,630000,0
1984,0,30,0,3,1.75,1290,6604,1,0,0,3,7,1290,0,98023,47.323,-122.349,1440,6682,0,7894,232000,0
1937,0,77,0,2,1,880,4000,1,0,0,3,6,780,100,98117,47.6931,-122.379,950,4000,0,4880,330000,0
1978,0,37,0,4,2.5,2130,9653,1,0,0,3,7,1500,630,98031,47.4068,-122.175,2000,7988,0,11783,320000,0
2007,0,7,0,6,5.25,6160,27490,2,0,0,3,11,4040,2120,98074,47.6094,-122.023,4225,9100,1,33650,1280000,1
2009,0,5,0,3,2.5,2480,4136,2,0,0,3,8,2480,0,98059,47.493,-122.147,2510,4314,0,6616,498000,0
1913,0,101,0,2,1,1000,16524,1,0,0,3,5,1000,0,98001,47.2841,-122.255,1350,10208,0,17524,115000,0
2007,0,7,0,4,2.5,2090,5195,2,0,0,3,7,2090,0,98031,47.3986,-122.166,2090,5236,0,7285,300000,0
1928,0,86,0,4,4.75,3970,9778,2,0,2,4,11,3390,580,98119,47.6312,-122.366,3970,8460,1,13748,2300000,1
1975,0,39,0,3,2.25,2250,5301,2,0,0,4,8,1510,740,98115,47.6741,-122.271,2240,7200,0,7551,750000,0
2014,0,0,0,3,3.5,1820,1991,2,0,0,3,8,1430,390,98144,47.596,-122.298,1550,1460,0,3811,499950,0
1952,0,62,0,4,1.75,1820,6930,1,0,2,4,7,1320,500,98178,47.5053,-122.242,1820,6825,0,8750,350000,0
2003,0,11,0,5,3.25,3420,5669,2,0,0,3,9,2620,800,98027,47.5366,-122.067,3310,6006,1,9089,855000,0
1952,0,62,0,3,1.75,1670,5375,1,0,0,3,7,1270,400,98199,47.6416,-122.397,1460,6125,0,7045,699000,0
1983,0,31,0,3,1.75,1570,8530,1,0,0,4,7,1190,380,98033,47.6881,-122.184,1530,8708,0,10100,500000,0
1959,0,55,0,3,1.75,1490,9120,1,0,0,5,7,1490,0,98059,47.4806,-122.163,1340,8040,0,10610,310000,0
1978,0,36,0,3,2.5,2960,9350,2,0,2,4,9,2960,0,98008,47.6218,-122.094,2960,11745,1,12310,740000,0
2003,0,11,0,3,2.5,2360,6699,2,0,0,3,7,2360,0,98065,47.5317,-121.853,2360,4744,0,9059,430000,0
1906,0,108,0,3,1,1050,5402,1.5,0,0,4,7,1050,0,98144,47.5867,-122.311,1510,4685,0,6452,339950,0
1977,0,38,0,3,1.5,1610,9964,1,0,0,3,7,1080,530,98052,47.6681,-122.143,1610,9964,0,11574,514000,0
1946,0,68,0,4,2.75,2420,7102,1,0,0,5,7,1670,750,98177,47.7042,-122.371,1620,7102,0,9522,665000,0
1959,0,56,0,5,1.75,2230,7560,1,0,0,3,7,1230,1000,98178,47.5055,-122.26,1380,6570,0,9790,375000,0
1976,0,39,0,5,2.75,3330,12408,1,0,0,3,10,1740,1590,98074,47.6318,-122.058,2780,12000,1,15738,750000,0
1977,0,37,0,4,2.5,2290,26720,2,0,0,3,8,2290,0,98177,47.7502,-122.374,2290,26720,0,29010,630000,0
2006,0,8,0,2,2.75,1430,1425,2,0,0,3,7,995,435,98112,47.621,-122.298,1500,1749,0,2855,465000,0
1926,0,88,0,6,1.75,2180,4000,1.5,0,0,4,7,1380,800,98105,47.6643,-122.29,1720,4000,0,6180,580000,0
1979,0,36,0,3,2.5,2880,426452,2,0,3,3,7,2880,0,98092,47.2485,-122.101,1460,320890,0,429332,450000,0
1914,2000,100,14,3,2.75,2220,4000,2,0,0,3,8,1700,520,98122,47.617,-122.291,1800,4000,0,6220,800000,0
1956,0,58,0,3,1,1410,5060,1,0,0,4,7,910,500,98133,47.7073,-122.34,1130,5693,0,6470,410000,0
2004,0,11,0,3,2.5,1850,1330,2.5,0,0,3,9,1560,290,98115,47.6831,-122.325,1810,2071,1,3180,827000,0
1924,0,90,0,2,1,850,2700,1,0,0,5,6,850,0,98105,47.6684,-122.316,1630,3000,0,3550,447000,0
1970,0,44,0,3,1,1180,9832,1,0,0,3,7,1180,0,98042,47.3845,-122.085,1220,9894,0,11012,169950,0
1905,1996,110,19,4,3.5,2850,2910,2,0,2,3,8,1970,880,98115,47.6855,-122.321,1460,3880,0,5760,710000,0
2005,0,9,0,4,2.75,2720,4613,2,0,0,3,9,2720,0,98028,47.7352,-122.223,2830,4836,1,7333,594000,0
1978,0,37,0,3,2.25,2600,15000,2,0,0,3,9,2600,0,98038,47.3719,-122.056,2380,15000,1,17600,428000,0
1977,0,38,0,4,3,2260,7336,2,0,0,4,7,2260,0,98034,47.7297,-122.219,2200,7724,0,9596,486000,0
1993,0,22,0,3,2.5,2340,8414,1,0,0,3,7,1280,1060,98188,47.4685,-122.265,2340,7268,0,10754,345000,0
1990,0,25,0,3,2,2930,29136,2,0,0,3,8,2240,690,98010,47.3102,-122.042,2110,29362,0,32066,460000,0
1953,0,61,0,3,1,1570,9136,1,0,0,3,7,1570,0,98133,47.7688,-122.337,1380,9127,0,10706,330000,0
1961,0,53,0,4,2.25,2130,8734,2,0,2,4,8,2130,0,98006,47.5672,-122.161,2550,8800,0,10864,802000,0
1971,0,43,0,3,1.75,1840,9401,1,0,0,3,8,1840,0,98075,47.5847,-122.075,2850,14323,0,11241,550000,0
2005,0,10,0,5,3.5,3290,5880,2,0,0,3,9,2670,620,98052,47.7067,-122.119,3090,5680,1,9170,762500,0
1918,0,97,0,4,2.25,1890,4300,1.5,0,0,3,7,1350,540,98103,47.6649,-122.337,1830,3800,0,6190,620000,0
1930,0,85,0,3,1.75,1210,4400,1.5,0,0,4,8,1210,0,98105,47.6621,-122.288,2020,3750,0,5610,635000,0
1982,0,32,0,6,3,2470,9328,2,0,0,3,8,2470,0,98007,47.6025,-122.153,2470,9454,0,11798,630000,0
1940,0,74,0,4,2.75,1910,16532,1,0,0,4,7,1420,490,98117,47.6952,-122.39,2300,8250,0,18442,650000,0
1915,0,100,0,3,1,1010,5864,1,0,0,3,7,1010,0,98116,47.5733,-122.381,1290,5000,0,6874,425000,0
1944,2004,70,10,2,1,900,6000,1,0,0,3,7,900,0,98115,47.6855,-122.289,1460,4800,0,6900,451000,0
1949,0,65,0,3,1.75,1740,6800,1.5,0,0,4,7,1740,0,98126,47.5314,-122.373,990,6800,0,8540,450000,0
1930,0,84,0,4,1,1350,4000,1.5,0,0,3,8,1350,0,98117,47.6885,-122.386,1520,4000,0,5350,571000,0
1998,0,17,0,4,2.5,2590,11018,2,0,0,3,8,2590,0,98092,47.2634,-122.211,2400,8042,0,13608,346300,0
1972,0,42,0,4,2,2100,12620,1,0,0,4,7,2100,0,98034,47.7239,-122.173,1720,7840,0,14720,500000,0
2002,0,12,0,3,2.5,3760,5260,2,0,0,3,9,3230,530,98029,47.5489,-122.007,3080,5312,1,9020,825000,0
1989,0,25,0,3,1.75,2450,15001,1,0,0,3,7,1980,470,98014,47.6957,-121.913,1790,15323,0,17451,399950,0
2001,0,13,0,3,3.5,3690,8837,2,0,0,3,10,3690,0,98065,47.5402,-121.876,3690,9585,1,12527,725000,0
1985,0,30,0,3,2.25,1560,35026,1,0,0,3,7,1290,270,98092,47.3023,-122.069,1660,35160,0,36586,299900,0
2007,0,7,0,3,3.5,1450,1263,2,0,0,3,8,1160,290,98199,47.6508,-122.383,1390,1282,0,2713,395000,0
1942,0,72,0,1,1,790,13062,1,0,0,3,6,790,0,98168,47.4919,-122.311,1240,7137,0,13852,135000,0
1973,0,42,0,4,1.75,1600,7400,1,0,0,3,7,1210,390,98125,47.7111,-122.309,1640,7500,0,9000,525000,0
2001,0,13,0,3,2,1570,14992,1,0,0,3,8,1570,0,98014,47.6965,-121.922,1640,15000,0,16562,340000,0
1947,0,68,0,2,1.5,1270,32175,1,0,0,4,7,1270,0,98003,47.3347,-122.304,1270,10200,0,33445,275000,0
1951,1996,63,18,4,4.25,3010,4887,2,0,3,4,10,1940,1070,98115,47.6933,-122.272,2540,9375,1,7897,870000,0
1900,0,115,0,3,1.75,1650,5000,1.5,0,0,4,8,1650,0,98107,47.6743,-122.371,1630,5000,0,6650,730000,0
1950,0,65,0,2,1,710,4800,1,0,0,2,6,710,0,98112,47.6212,-122.298,1480,1721,0,5510,480000,0
1986,0,28,0,3,2,1380,2500,1,0,0,3,7,750,630,98107,47.6753,-122.363,1630,3800,0,3880,435000,0
1989,0,26,0,3,2.5,2910,10044,2,0,0,4,10,2910,0,98004,47.5845,-122.199,2420,12287,1,12954,1400000,1
1970,0,45,0,4,2.25,2240,9684,2,0,0,4,9,2240,0,98040,47.5489,-122.225,2440,9618,1,11924,939000,0
1954,0,61,0,3,1,1270,4000,1,0,0,3,7,1120,150,98106,47.5293,-122.354,1220,4600,0,5270,435010,0
2002,0,12,0,4,2.5,2180,4000,2,0,0,3,8,1700,480,98118,47.5553,-122.269,2180,4000,0,6180,607010,0
2001,0,13,0,4,2.5,2690,4736,2,0,0,3,7,2690,0,98053,47.6869,-122.036,2690,4791,0,7426,608000,0
1954,0,60,0,3,1,1400,6600,1,0,0,3,6,1280,120,98168,47.4845,-122.331,1730,6600,0,8000,214950,0
2008,0,7,0,2,1,1290,3383,2,0,0,3,7,1290,0,98053,47.6968,-122.025,1290,2828,0,4673,305000,0
2006,0,9,0,2,2,1200,3900,1,0,0,3,8,1200,0,98053,47.72,-122.024,1440,5580,0,5100,408000,0
1984,0,31,0,4,2.5,2080,9846,1,0,0,3,7,1240,840,98001,47.3338,-122.268,1890,7977,0,11926,286950,0
1951,0,63,0,3,1.75,1580,11750,1,0,0,4,7,1180,400,98118,47.5368,-122.265,2150,11750,0,13330,575000,0
1958,0,57,0,3,1,1410,8174,1,0,0,3,8,1410,0,98056,47.4969,-122.178,1500,8058,0,9584,261500,0
1940,0,75,0,3,2,1090,6090,1,0,0,3,7,940,150,98118,47.5118,-122.259,1840,6090,0,7180,158000,0
1969,2008,45,6,4,3,2370,3836,2,0,0,3,9,1750,620,98107,47.6718,-122.394,1690,4698,1,6206,957000,0
2001,0,13,0,3,2.5,1620,5992,2,0,0,3,7,1620,0,98019,47.736,-121.965,1620,4644,0,7612,345000,0
1981,0,34,0,3,2,1580,14398,1,0,0,3,7,1080,500,98005,47.6328,-122.174,1650,14407,0,15978,617450,0
1997,0,18,0,5,3.5,4320,40816,2,0,0,4,11,4320,0,98004,47.644,-122.185,4320,44584,1,45136,1670000,1
2003,0,11,0,3,2.5,1870,3584,2,0,0,3,8,1870,0,98058,47.4521,-122.121,1900,3920,0,5454,345000,0
1984,0,30,0,3,1.75,1590,7560,1,0,0,3,7,1130,460,98031,47.4016,-122.18,1500,7560,0,9150,250000,0
1954,0,60,0,4,1.5,1320,14250,1,0,0,4,7,1320,0,98033,47.7016,-122.199,1720,14250,0,15570,510000,0
1977,0,37,0,3,2.25,2590,9263,1,0,0,5,8,1440,1150,98028,47.7691,-122.262,2580,9450,0,11853,520000,0
1948,0,66,0,3,1.75,1960,8136,1,0,0,3,7,980,980,98106,47.5208,-122.364,1070,7480,0,10096,340000,0
2006,0,8,0,3,2.5,1910,4363,2,0,0,3,9,1910,0,98029,47.5482,-121.996,1890,3732,1,6273,650000,0
1927,0,87,0,3,1,1300,20812,1,0,0,3,6,1300,0,98106,47.5435,-122.359,1210,17340,0,22112,300000,0
1986,0,29,0,3,1.75,1060,7875,1,0,0,4,7,1060,0,98092,47.2761,-122.152,1420,7680,0,8935,212000,0
1947,0,68,0,2,1,1550,38449,1,0,0,3,6,1550,0,98055,47.4315,-122.199,1188,25875,0,39999,222000,0
1924,2009,90,5,3,1,1030,5350,1,0,0,3,7,1030,0,98055,47.4905,-122.206,1030,5250,0,6380,305000,0
1945,1986,69,28,3,2,1650,7104,2,0,0,3,8,1650,0,98177,47.7053,-122.374,1730,7104,0,8754,643500,0
1924,0,90,0,3,1,1230,7020,1,0,0,3,7,1090,140,98116,47.5719,-122.39,1390,5850,0,8250,410000,0
1953,0,62,0,2,1,1000,5375,1,0,0,3,7,1000,0,98118,47.5404,-122.268,1380,5000,0,6375,420000,0
1989,0,25,0,4,2.25,1960,12243,2,0,0,3,8,1960,0,98042,47.3405,-122.058,1910,12230,0,14203,308000,0
2003,0,11,0,2,2,1350,4225,1,0,0,3,8,1350,0,98053,47.7106,-122.03,1660,4225,0,5575,428000,0
1983,0,31,0,3,1.75,1630,9403,1,0,0,3,7,1630,0,98155,47.757,-122.316,1430,8461,0,11033,357500,0
